SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
abies balsamea,resinous (balsamic) fir,balsam fir,abies,pinaceae,pinales,conifers,firs,,phanerophyte,charlevoix,tree,Eastern United States,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Abies_balsamea_001.JPG
abies concolor,fir the same colour all over,white fir,abies,pinaceae,pinales,conifers,firs,,phanerophyte,charlevoix,tree,Western United States,North America,northern,Wild,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Abies_concolor.jpg
abies grandis,big fir,grand fir,abies,pinaceae,pinales,conifers,,,phanerophyte,sooke,tree,Western United States,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/0/09/Abies_grandis_cone.jpg
abies pinsapo,pine-like fir,spanish fir,abies,pinaceae,pinales,conifers,fir,,phanerophyte,kew,tree,Spain,Europe,northern,Both,Moderate,Limited,Uncommon,natural,Endemic to mountains of southern Spain,https://upload.wikimedia.org/wikipedia/commons/7/7a/Abies_pinsapo_01_by_Line1.jpg
acacia auriculiformis,acacia of ear-like form,earpod wattle,acacia,fabaceae,fabales,dicots,,,phanerophyte,jakarta,tree,Australia,Oceania,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/4/46/Starr_031108-0008_Acacia_auriculiformis.jpg
acacia baileyana,Bailey's acacia,cootamundra wattle,acacia,fabaceae,fabales,dicots,,wattles,phanerophyte,Kew,tree,Australia,Oceania,southern,Both,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/3/3b/Acacia_baileyana.jpg
acacia linifolia,flax-leaved acacia,flax-leaved wattle,acacia,fabaceae,fabales,dicots,,,phanerophyte,sydney,shrub,Australia,Oceania,southern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/1/17/Acacia_linifolia_Eastwood.jpg
acacia longifolia,long-leaved acacia,longleaf wattle,acacia,fabaceae,fabales,dicots,,,phanerophyte,sydney,shrub,Australia,Oceania,southern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/d/d9/Acacia_longifolia.jpg
acalypha hispida,rough acalypha,chenille planet,acalypha,euphorbiaceae,malpighiales,dicots,,,phanerophyte,luang prabang,shrub,Indonesia,Central America,southern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/7/75/Acalypha_hispida_%28Chenille_Plant%29_W_IMG_2768.jpg
acanthus mollis,soft thorn,bear's breeches,acanthus,acanthaceae,lamiales,dicots,acanthus,,hemicryptophyte,around amman,herb,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,Leaves inspired Corinthian column capitals,https://upload.wikimedia.org/wikipedia/commons/1/19/Acanthus_mollis_1.jpg
