SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
abies balsamea,resinous (balsamic) fir,balsam fir,abies,pinaceae,pinales,conifers,firs,pine family,phanerophyte,charlevoix,tree,Eastern North America,North America,Northern,Wild,Low,Limited,Widespread/Common,natural,One of the most cold-hardy trees known; survives temperatures as low as -45°C,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Abies_balsamea_1-jgreenlee_%285098806685%29.jpg/1024px-Abies_balsamea_1-jgreenlee_%285098806685%29.jpg
abies concolor,fir the same colour all over,white fir,abies,pinaceae,pinales,conifers,firs,pine family,phanerophyte,charlevoix,tree,Western North America,North America,Northern,Wild,Moderate,Limited,Widespread/Common,natural,Also known as concolor fir; blue-green to silver-blue foliage,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Abies_concolor_kz1.jpg/1024px-Abies_concolor_kz1.jpg
abies grandis,big fir,grand fir,abies,pinaceae,pinales,conifers,firs,pine family,phanerophyte,sooke,tree,Western North America,North America,Northern,Wild,Low,Limited,Widespread/Common,natural,Fast-growing species; can reach heights over 70m,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Abies_grandis_28072002.jpg/1024px-Abies_grandis_28072002.jpg
abies pinsapo,pinsapo (local Andalusian name),spanish fir,abies,pinaceae,pinales,conifers,fir,pine family,phanerophyte,kew,tree,Southern Spain,Mediterranean,Northern,Both,Moderate,Limited,Uncommon,natural,Endemic to Andalusia and Morocco; survived the last ice age; endangered in wild,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Abies_pinsapo.jpg/1024px-Abies_pinsapo.jpg
acacia auriculiformis,acacia of ear-like form,earpod wattle,acacia,fabaceae,fabales,dicots,acacias,legume family,phanerophyte,jakarta,tree,Northern Australia,Australia,Southern,Cultivated,Moderate,Limited,Widespread/Common,natural,Fast-growing; widely planted in tropical regions; nitrogen-fixing,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Acacia_auriculiformis_foliage.jpg/1024px-Acacia_auriculiformis_foliage.jpg
acacia baileyana,Bailey's acacia,cootamundra wattle,acacia,fabaceae,fabales,dicots,acacias,legume family,phanerophyte,,tree,Southeastern Australia,Australia,Southern,Both,High,Major,Locally common,natural,Golden yellow flowers; blue-green foliage; popular ornamental,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Acacia_baileyana_flowers.jpg/1024px-Acacia_baileyana_flowers.jpg
acacia linifolia,flax-leaved acacia,white wattle,acacia,fabaceae,fabales,dicots,acacias,legume family,phanerophyte,,shrub,Eastern Australia,Australia,Southern,Wild,Low,None,Widespread/Common,natural,Linear leaves resembling flax; cream-white flower heads,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Acacia_linifolia_flowers.jpg/1024px-Acacia_linifolia_flowers.jpg
acacia longifolia,long-leaved acacia,sydney golden wattle,acacia,fabaceae,fabales,dicots,acacias,legume family,phanerophyte,,shrub,Eastern Australia,Australia,Southern,Both,Moderate,Limited,Widespread/Common,natural,Long narrow phyllodes; bright yellow flower spikes; can be invasive,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Acacia_longifolia_flowers.jpg/1024px-Acacia_longifolia_flowers.jpg
acalypha hispida,hairy acalypha,chenille plant,acalypha,euphorbiaceae,malpighiales,dicots,copperleaf,spurge family,chamaephyte,,shrub,Papua New Guinea,Melanesia,Southern,Cultivated,High,Major,Locally common,natural,Distinctive red fuzzy flower spikes; popular tropical ornamental,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Acalypha_hispida_flowers.jpg/1024px-Acalypha_hispida_flowers.jpg
acanthus mollis,soft acanthus,bear's breeches,acanthus,acanthaceae,lamiales,dicots,acanthus,acanthus family,hemicryptophyte,,herb,Mediterranean,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,Architectural foliage inspired classical Greek art; tall flower spikes,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Acanthus_mollis_flowers.jpg/1024px-Acanthus_mollis_flowers.jpg
acca sellowiana,Sellow's acca,feijoa,acca,myrtaceae,myrtales,dicots,feijoa,myrtle family,phanerophyte,,shrub,Southern Brazil,South America,Southern,Both,High,Major,Locally common,natural,Edible fruits; ornamental flowers with red stamens; also called pineapple guava,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Acca_sellowiana_fruit.jpg/1024px-Acca_sellowiana_fruit.jpg
