SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS
abies balsamea,resinous (balsamic) fir,balsam fir,abies,pinaceae,pinales,conifers,firs,,tree,charlevoix,tree,Eastern North America,Wild,Low,Limited,Widespread/Common
abies concolor,fir the same colour all over,white fir,abies,pinaceae,pinales,conifers,firs,,tree,charlevoix,tree,Western North America,Wild,Moderate,Limited,Widespread/Common
abies grandis,big fir,grand fir,abies,pinaceae,pinales,conifers,,,tree,sooke,tree,Western North America,Wild,Low,Limited,Widespread/Common
abies pinsapo,,spanish fir,abies,pinaceae,pinales,conifers,fir,,tree,kew,tree,Spain,Both,Moderate,Limited,Uncommon
acacia auriculiformis,acacia of ear-like form,earpod wattle,acacia,fabaceae,fabales,dicots,,,tree,jakarta,tree,Australia,Cultivated,Moderate,Limited,Widespread/Common
acacia baileyana,,cootamundra wattle,acacia,fabaceae,fabales,dicots,,wattles,tree,Kew,tree,Australia,Both,High,Limited,Widespread/Common
acacia linifolia,,flax-leaved wattle,acacia,fabaceae,fabales,dicots,,,,sydney,shrub,Australia,Wild,Low,None,Widespread/Common
acacia longifolia,,longleaf wattle,acacia,fabaceae,fabales,dicots,,,,sydney,shrub,Australia,Both,Moderate,Limited,Widespread/Common
acalypha hispida,,chenille planet,acalypha,euphorbiaceae,malpighiales,dicots,,,,luang prabang,shrub,Central America,Cultivated,High,Limited,Widespread/Common
acanthus mollis,soft thorn,bear's breeches,acanthus,acanthaceae,lamiales,dicots,acanthus,,,around amman,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
acca sellowiana,,feijoa,acca,myrtaceae,myrtales,dicots,feijoas,myrtles,,Expo,shrub,South America,Cultivated,High,Limited,Widespread/Common
acer campestre,,field maple,acer,sapindaceae,sapindales,dicots,maples,,tree,kintbury,tree,Europe,Both,Moderate,Limited,Widespread/Common
acer circinatum,,vine maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Kew,tree,Western North America,Both,Low,None,Widespread/Common
acer griseum,grey maple,paper bark maple,acer,sapindaceae,sapindales,dicots,maples,,tree,kew,tree,China,Cultivated,High,Limited,Locally common
acer japonicum,maple from Japan,downy japanese maple,acer,sapindaceae,sapindales,dicots,maples,,tree,kew,tree,Japan,Cultivated,High,Limited,Widespread/Common
acer monspessulanum,,montpellier maple,acer,sapindaceae,sapindales,dicots,maples,,,knighton,tree,Mediterranean,Both,Low,None,Widespread/Common
acer negundo,,ashleaf maple,acer,sapindaceae,sapindales,dicots,maples,soapberry,tree,amman,tree,Eastern North America,Both,Low,None,Widespread/Common
acer nigrum,,black maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Kew,tree,Eastern North America,Wild,Low,None,Widespread/Common
acer palmatum,,japanese maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Kew,tree,Japan,Cultivated,High,Major,Widespread/Common
acer pensylvanicum,maple from Pennsylvania,striped maple,acer,sapindaceae,sapindales,dicots,maples,,tree,charlevoix,tree,Eastern North America,Wild,Low,None,Widespread/Common
acer platanoides,maple that's like a plane tree,norway maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Kew,tree,Europe,Both,Moderate,Limited,Widespread/Common
acer pseudoplatanus,,sycamore maple,acer,sapindaceae,sapindales,dicots,maples,,tree,kintbury,tree,Europe,Both,Low,Limited,Widespread/Common
