SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS
abies balsamea,resinous (balsamic) fir,balsam fir,abies,pinaceae,pinales,conifers,firs,,tree,charlevoix,Tree,Eastern North America,Wild,Low,Limited,Widespread/Common
abies concolor,fir the same colour all over,white fir,abies,pinaceae,pinales,conifers,firs,,tree,charlevoix,Tree,Western North America,Wild,Moderate,Limited,Widespread/Common
abies grandis,big fir,grand fir,abies,pinaceae,pinales,conifers,,,tree,sooke,Tree,Western North America,Wild,Low,Limited,Widespread/Common
abies pinsapo,,spanish fir,abies,pinaceae,pinales,conifers,fir,,tree,kew,Tree,Spain,Both,Moderate,Limited,Uncommon
acacia auriculiformis,acacia of ear-like form,earpod wattle,acacia,fabaceae,fabales,dicots,,,tree,jakarta,Tree,Australia,Cultivated,Moderate,Limited,Widespread/Common
acacia baileyana,,cootamundra wattle,acacia,fabaceae,fabales,dicots,,wattles,tree,Kew,Tree,Australia,Both,High,Limited,Widespread/Common
acacia linifolia,,flax-leaved wattle,acacia,fabaceae,fabales,dicots,,,,sydney,Shrub,Australia,Wild,Low,None,Widespread/Common
acacia longifolia,,longleaf wattle,acacia,fabaceae,fabales,dicots,,,,sydney,Shrub,Australia,Both,Moderate,Limited,Widespread/Common
acalypha hispida,,chenille planet,acalypha,euphorbiaceae,malpighiales,dicots,,,,luang prabang,Shrub,Central America,Cultivated,High,Limited,Widespread/Common
acanthus mollis,soft thorn,bear's breeches,acanthus,acanthaceae,lamiales,dicots,acanthus,,,around amman,Herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
acca sellowiana,,feijoa,acca,myrtaceae,myrtales,dicots,feijoas,myrtles,,Expo,Shrub,South America,Cultivated,High,Limited,Widespread/Common
acer campestre,,field maple,acer,sapindaceae,sapindales,dicots,maples,,tree,kintbury,Tree,Europe,Both,Moderate,Limited,Widespread/Common
acer circinatum,,vine maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Kew,Tree,Western North America,Both,Low,None,Widespread/Common
acer griseum,grey maple,paper bark maple,acer,sapindaceae,sapindales,dicots,maples,,tree,kew,Tree,China,Cultivated,High,Limited,Locally common
acer japonicum,maple from Japan,downy japanese maple,acer,sapindaceae,sapindales,dicots,maples,,tree,kew,Tree,Japan,Cultivated,High,Limited,Widespread/Common
acer monspessulanum,,montpellier maple,acer,sapindaceae,sapindales,dicots,maples,,,knighton,Tree,Mediterranean,Both,Low,None,Widespread/Common
acer negundo,,ashleaf maple,acer,sapindaceae,sapindales,dicots,maples,soapberry,tree,amman,Tree,Eastern North America,Both,Low,None,Widespread/Common
acer nigrum,,black maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Kew,Tree,Eastern North America,Wild,Low,None,Widespread/Common
acer palmatum,,japanese maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Kew,Tree,Japan,Cultivated,High,Major,Widespread/Common
acer pensylvanicum,maple from Pennsylvania,striped maple,acer,sapindaceae,sapindales,dicots,maples,,tree,charlevoix,Tree,Eastern North America,Wild,Low,None,Widespread/Common
acer platanoides,maple that's like a plane tree,norway maple,acer,sapindaceae,sapindales,dicots,maples,,tree,Kew,Tree,Europe,Both,Moderate,Limited,Widespread/Common
