
SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
abies balsamea,resinous (balsamic) fir,balsam fir,abies,pinaceae,pinales,conifers,firs,pine family,phanerophyte,charlevoix,tree,Eastern North America,,North America,Northern,Wild,Low,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Abies_balsamea.jpg
abies concolor,fir the same colour all over,white fir,abies,pinaceae,pinales,conifers,firs,pine family,phanerophyte,charlevoix,tree,Western North America,,North America,Northern,Wild,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/2/2a/Abies_concolor_Yosemite_NP.jpg
abies grandis,big fir,grand fir,abies,pinaceae,pinales,conifers,fir,pine family,phanerophyte,sooke,tree,Western North America,,North America,Northern,Wild,Low,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/0/02/Abies_grandis_Rog%C3%B3w_6.jpg
abies pinsapo,,spanish fir,abies,pinaceae,pinales,conifers,fir,pine family,phanerophyte,kew,tree,Spain,Spain,Europe,Northern,Both,Moderate,Limited,Uncommon,natural,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Abies_pinsapo%2C_joven%2C_en_la_Sierra_de_las_Nieves.jpg/4000px-Abies_pinsapo%2C_joven%2C_en_la_Sierra_de_las_Nieves.jpg
acacia auriculiformis,acacia of ear-like form,earpod wattle,acacia,fabaceae,fabales,dicots,wattle,legume family,phanerophyte,jakarta,tree,Australia,Australia,Australia,Southern,Cultivated,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/1/17/Acacia_auriculiformis_flowers.jpg
acacia baileyana,,cootamundra wattle,acacia,fabaceae,fabales,dicots,wattle,wattles,phanerophyte,Kew,tree,Australia,Australia,Australia,Southern,Both,High,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/e/e7/Acacia_baileyana.jpg
acacia linifolia,,flax-leaved wattle,acacia,fabaceae,fabales,dicots,wattle,legume family,,sydney,shrub,Australia,Australia,Australia,Southern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/1/13/Acacia_linifolia_flowers_%286872824914%29.jpg
acacia longifolia,,longleaf wattle,acacia,fabaceae,fabales,dicots,wattle,legume family,,sydney,shrub,Australia,Australia,Australia,Southern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/6/60/Acacia-longifolia-branch.jpg
acalypha hispida,,chenille planet,acalypha,euphorbiaceae,malpighiales,dicots,,spurge family,,luang prabang,shrub,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/7/7b/Acalypha_Hispida_DS.jpg
acanthus mollis,soft thorn,bear's breeches,acanthus,acanthaceae,lamiales,dicots,acanthus,,,around amman,herb,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/8/8b/Acanthaceae_-_Acanthus_mollis_%282%29.JPG
